Loan ID,BorrCity,BorrState,BorrZip,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,InitialInterestRate,Missing Rate?,TermInMonths,NaicsCode,ProjectCounty,ProjectState,BusinessType,LoanStatus,ChargeOffDate,GrossChargeOffAmount,BorrRegion,NaicsTrimmed,Cont_ApprovalDate,TotalLoanAmount,LossRatio,LoanAge,BorrSameCDC,ProjectSameBorr
29476,ALVORD,IA,51230,Johnston,IA,50131,NA,NA,NA,138000,3/1/2000,2000,ALP,3.25,1,120,112210,LYON,IA,INDIVIDUAL,0,NA,0,Midwest,11,3712,138000,NA,120,YES,YES
29522,SAN DIEGO,CA,92103,San Diego,CA,92106,NA,NA,NA,145000,3/7/2000,2000,ALP,3.25,1,240,NA,SAN DIEGO,CA,CORPORATION,0,NA,0,West,NA,3718,145000,NA,240,YES,YES
29550,VERO BEACH,FL,32960,Lake Worth,FL,33467,NA,NA,NA,216000,3/9/2000,2000,504,3.25,1,240,NA,INDIAN RIVER,FL,CORPORATION,1,4/14/2010,164955,South,NA,3720,216000,0.763680556,122,YES,YES
29561,HAMMOND,IN,46320,Indianapolis,IN,46240,NA,NA,NA,631000,3/10/2000,2000,504,3.25,1,240,NA,LAKE,IN,CORPORATION,1,5/11/2009,581995,Midwest,NA,3721,631000,0.922337559,111,YES,YES
29565,SAN JOSE,CA,95112,San Francisco,CA,94133,NA,NA,NA,1000000,3/10/2000,2000,ALP,3.25,1,240,334220,SANTA CLARA,CA,CORPORATION,0,NA,0,West,33,3721,1.00E+06,NA,240,YES,YES
29607,SICKLERVILLE,NJ,8081,Fort Lee,NJ,7024,NA,NA,NA,384000,3/15/2000,2000,504,3.25,1,240,624410,CAMDEN,NJ,CORPORATION,1,2/27/2012,269201,Northeast,62,3726,384000,0.701044271,145,YES,YES
29709,NORRIDGE,IL,60634,Springfield,IL,62704,NA,NA,NA,648000,3/29/2000,2000,504,3.25,1,240,NA,COOK,IL,CORPORATION,0,NA,0,Midwest,NA,3740,648000,NA,240,YES,YES
29716,ELMHURST,IL,60126,Chicago,IL,60605,NA,NA,NA,424000,3/29/2000,2000,504,3.25,1,240,722410,DUPAGE,IL,INDIVIDUAL,0,NA,0,Midwest,72,3740,424000,NA,240,YES,YES
29727,SUNNYVALE,CA,94089,San Francisco,CA,94133,NA,NA,NA,1000000,3/29/2000,2000,ALP,3.25,1,240,334111,SANTA CLARA,CA,CORPORATION,0,NA,0,West,33,3740,1.00E+06,NA,240,YES,YES
29730,ADEL,GA,31620,Valdosta,GA,31601,NA,NA,NA,131000,3/30/2000,2000,504,3.25,1,240,NA,COOK,GA,PARTNERSHIP,0,NA,0,South,NA,3741,131000,NA,240,YES,YES
29807,SHREVEPORT,LA,71133,Shreveport,LA,71133,NA,NA,NA,358000,4/10/2000,2000,504,3.25,1,240,NA,DE SOTO,LA,CORPORATION,0,NA,0,South,NA,3752,358000,NA,240,YES,YES
